filename,time_sec,peak_mem_kb,result
uf20-031.cnf,0.0017,0,SAT
uf20-0310.cnf,0.0036,0,SAT
uf20-0311.cnf,0.0021,0,SAT
uf20-0312.cnf,0.0462,0,SAT
uf20-0313.cnf,0.0143,0,SAT
uf20-0314.cnf,0.0014,0,SAT
uf20-0315.cnf,0.0012,0,SAT
uf20-0316.cnf,0.0384,0,SAT
uf20-0317.cnf,0.0300,0,SAT
uf20-0318.cnf,0.0071,0,SAT
uf20-0319.cnf,0.0018,0,SAT
uf20-032.cnf,0.0644,0,SAT
uf20-0320.cnf,0.0105,0,SAT
uf20-0321.cnf,0.0248,0,SAT
uf20-0322.cnf,0.0184,0,SAT
uf20-0323.cnf,0.0194,0,SAT
uf20-0324.cnf,0.0318,0,SAT
uf20-0325.cnf,0.0264,0,SAT
uf20-0326.cnf,0.0036,0,SAT
uf20-0327.cnf,0.0013,0,SAT
uf20-0328.cnf,0.0017,0,SAT
uf20-0329.cnf,0.0281,0,SAT
uf20-033.cnf,0.0019,0,SAT
uf20-0330.cnf,0.0794,0,SAT
uf20-0331.cnf,0.0012,0,SAT
uf20-0332.cnf,0.0032,0,SAT
uf20-0333.cnf,0.1785,0,SAT
uf20-0334.cnf,0.0042,0,SAT
uf20-0335.cnf,0.0042,0,SAT
uf20-0336.cnf,0.0565,0,SAT
uf20-0337.cnf,0.0046,0,SAT
uf20-0338.cnf,0.0080,0,SAT
uf20-0339.cnf,0.0235,0,SAT
uf20-034.cnf,0.0018,0,SAT
uf20-0340.cnf,0.0012,0,SAT
uf20-0341.cnf,0.0012,0,SAT
uf20-0342.cnf,0.0016,0,SAT
uf20-0343.cnf,0.0015,0,SAT
uf20-0344.cnf,0.0041,0,SAT
uf20-0345.cnf,0.0028,0,SAT
uf20-0346.cnf,0.0027,0,SAT
uf20-0347.cnf,0.0058,0,SAT
uf20-0348.cnf,0.0174,0,SAT
uf20-0349.cnf,0.0066,0,SAT
uf20-035.cnf,0.0196,0,SAT
uf20-0350.cnf,0.0007,0,SAT
uf20-0351.cnf,0.0061,0,SAT
uf20-0352.cnf,0.0219,0,SAT
uf20-0353.cnf,0.0055,0,SAT
uf20-0354.cnf,0.0014,0,SAT
uf20-0355.cnf,0.1076,0,SAT
uf20-0356.cnf,0.0074,0,SAT
uf20-0357.cnf,0.0016,0,SAT
uf20-0358.cnf,0.0050,0,SAT
uf20-0359.cnf,0.0022,0,SAT
uf20-036.cnf,0.0408,0,SAT
uf20-0360.cnf,0.0006,0,SAT
uf20-0361.cnf,0.0107,0,SAT
uf20-0362.cnf,0.0018,0,SAT
uf20-0363.cnf,0.0050,0,SAT
uf20-0364.cnf,0.0418,0,SAT
uf20-0365.cnf,0.0832,0,SAT
uf20-0366.cnf,0.0010,0,SAT
uf20-0367.cnf,0.0394,0,SAT
uf20-0368.cnf,0.0014,0,SAT
uf20-0369.cnf,0.0008,0,SAT
uf20-037.cnf,0.0492,0,SAT
uf20-0370.cnf,0.0032,0,SAT
uf20-0371.cnf,0.0045,0,SAT
uf20-0372.cnf,0.0020,0,SAT
uf20-0373.cnf,0.0010,0,SAT
uf20-0374.cnf,0.0159,0,SAT
uf20-0375.cnf,0.0067,0,SAT
uf20-0376.cnf,0.0011,0,SAT
uf20-0377.cnf,0.0039,0,SAT
uf20-0378.cnf,0.0127,0,SAT
uf20-0379.cnf,0.0162,0,SAT
uf20-038.cnf,0.0008,0,SAT
uf20-0380.cnf,0.0063,0,SAT
uf20-0381.cnf,0.0010,0,SAT
uf20-0382.cnf,0.0046,0,SAT
uf20-0383.cnf,0.0286,0,SAT
uf20-0384.cnf,0.0076,0,SAT
uf20-0385.cnf,0.0177,0,SAT
uf20-0386.cnf,0.0351,0,SAT
uf20-0387.cnf,0.0008,0,SAT
uf20-0388.cnf,0.0015,0,SAT
uf20-0389.cnf,0.0245,0,SAT
uf20-039.cnf,0.0010,0,SAT
uf20-0390.cnf,0.0113,0,SAT
uf20-0391.cnf,0.0157,0,SAT
uf20-0392.cnf,0.0038,0,SAT
uf20-0393.cnf,0.0027,0,SAT
uf20-0394.cnf,0.0022,0,SAT
uf20-0395.cnf,0.0005,0,SAT
uf20-0396.cnf,0.0010,0,SAT
uf20-0397.cnf,0.0008,0,SAT
uf20-0398.cnf,0.0021,0,SAT
uf20-0399.cnf,0.0014,0,SAT
uf20-040.cnf,0.0214,0,SAT
uf20-0400.cnf,0.0072,0,SAT
uf20-0401.cnf,0.0011,0,SAT
uf20-0402.cnf,0.0275,0,SAT
uf20-0403.cnf,0.0032,0,SAT
uf20-0404.cnf,0.0036,0,SAT
uf20-0405.cnf,0.0010,0,SAT
uf20-0406.cnf,0.0060,0,SAT
uf20-0407.cnf,0.0019,0,SAT
uf20-0408.cnf,0.0503,0,SAT
uf20-0409.cnf,0.0014,0,SAT
uf20-041.cnf,0.0020,0,SAT
uf20-0410.cnf,0.0010,0,SAT
uf20-0411.cnf,0.0013,0,SAT
uf20-0412.cnf,0.0018,0,SAT
uf20-0413.cnf,0.0117,0,SAT
uf20-0414.cnf,0.0022,0,SAT
uf20-0415.cnf,0.0113,0,SAT
uf20-0416.cnf,0.0014,0,SAT
uf20-0417.cnf,0.0057,0,SAT
uf20-0418.cnf,0.0033,0,SAT
uf20-0419.cnf,0.0093,0,SAT
uf20-042.cnf,0.0134,0,SAT
uf20-0420.cnf,0.0618,0,SAT
uf20-0421.cnf,0.0011,0,SAT
uf20-0422.cnf,0.0027,0,SAT
uf20-0423.cnf,0.0125,0,SAT
uf20-0424.cnf,0.0222,0,SAT
uf20-0425.cnf,0.0042,0,SAT
uf20-0426.cnf,0.0123,0,SAT
uf20-0427.cnf,0.0013,0,SAT
uf20-0428.cnf,0.0030,0,SAT
uf20-0429.cnf,0.0004,0,SAT
uf20-043.cnf,0.1342,0,SAT
uf20-0430.cnf,0.0022,0,SAT
uf20-0431.cnf,0.0093,0,SAT
uf20-0432.cnf,0.0084,0,SAT
uf20-0433.cnf,0.0138,0,SAT
uf20-0434.cnf,0.0152,0,SAT
uf20-0435.cnf,0.0650,0,SAT
uf20-0436.cnf,0.0062,0,SAT
uf20-0437.cnf,0.0035,0,SAT
uf20-0438.cnf,0.0050,0,SAT
uf20-0439.cnf,0.0032,0,SAT
uf20-044.cnf,0.0058,0,SAT
uf20-0440.cnf,0.0106,0,SAT
uf20-0441.cnf,0.0015,0,SAT
uf20-0442.cnf,0.0096,0,SAT
uf20-0443.cnf,0.0018,0,SAT
