filename,time_sec,peak_mem_kb,result
uf20-0376.cnf,14.7359,227,SAT
uf20-0377.cnf,0.6572,187,SAT
uf20-0378.cnf,12.6618,210,SAT
uf20-0379.cnf,2.3440,208,SAT
uf20-038.cnf,1.2130,191,SAT
uf20-0380.cnf,0.5642,189,SAT
uf20-0381.cnf,0.0278,150,SAT
uf20-0382.cnf,3.4267,215,SAT
uf20-0383.cnf,2.6457,213,SAT
uf20-0384.cnf,1.0136,196,SAT
uf20-0385.cnf,5.2356,217,SAT
uf20-0386.cnf,4.2511,215,SAT
uf20-0387.cnf,0.0018,118,SAT
uf20-0388.cnf,4.3945,212,SAT
uf20-0389.cnf,1.9462,201,SAT
uf20-039.cnf,1.5922,189,SAT
uf20-0390.cnf,7.3471,207,SAT
uf20-0391.cnf,0.0014,95,SAT
uf20-0392.cnf,3.0787,197,SAT
uf20-0393.cnf,4.7244,215,SAT
uf20-0394.cnf,2.0808,207,SAT
uf20-0395.cnf,0.0018,120,SAT
uf20-0396.cnf,10.4096,220,SAT
uf20-0397.cnf,2.9216,208,SAT
uf20-0398.cnf,0.4012,183,SAT
uf20-0399.cnf,7.1242,213,SAT
uf20-040.cnf,3.5575,208,SAT
uf20-0400.cnf,5.4311,195,SAT
uf20-0401.cnf,0.2503,171,SAT
uf20-0402.cnf,14.4487,218,SAT
uf20-0403.cnf,2.3412,195,SAT
uf20-0404.cnf,0.0444,180,SAT
uf20-0405.cnf,5.5975,215,SAT
uf20-0406.cnf,12.4696,217,SAT
uf20-0407.cnf,1.4915,202,SAT
uf20-0408.cnf,1.4223,190,SAT
uf20-0409.cnf,2.3077,188,SAT
uf20-041.cnf,3.9846,212,SAT
uf20-0410.cnf,1.5557,203,SAT
uf20-0411.cnf,3.4471,197,SAT
uf20-0412.cnf,3.1037,205,SAT
uf20-0413.cnf,0.3054,175,SAT
uf20-0414.cnf,2.9259,195,SAT
uf20-0415.cnf,4.6322,214,SAT
uf20-0416.cnf,1.3298,189,SAT
uf20-0417.cnf,0.0078,134,SAT
uf20-0418.cnf,0.0709,144,SAT
uf20-0419.cnf,17.0768,225,SAT
uf20-042.cnf,1.2501,190,SAT
uf20-0420.cnf,13.0436,220,SAT
uf20-0421.cnf,2.6143,191,SAT
uf20-0422.cnf,4.9347,199,SAT
uf20-0423.cnf,2.3195,217,SAT
uf20-0424.cnf,0.5860,182,SAT
uf20-0425.cnf,4.7353,199,SAT
uf20-0426.cnf,10.7656,212,SAT
uf20-0427.cnf,0.3908,173,SAT
uf20-0428.cnf,0.3234,199,SAT
uf20-0429.cnf,4.3094,197,SAT
uf20-043.cnf,0.0112,163,SAT
uf20-0430.cnf,5.1207,216,SAT
uf20-0431.cnf,0.0017,117,SAT
uf20-0432.cnf,13.4369,206,SAT
uf20-0433.cnf,0.8696,176,SAT
uf20-0434.cnf,1.0723,178,SAT
uf20-0435.cnf,3.2891,186,SAT
uf20-0436.cnf,0.4459,181,SAT
uf20-0437.cnf,10.1952,226,SAT
uf20-0438.cnf,3.6551,209,SAT
uf20-0439.cnf,0.2049,165,SAT
uf20-044.cnf,1.7035,201,SAT
uf20-0440.cnf,0.3583,191,SAT
uf20-0441.cnf,0.1750,168,SAT
uf20-0442.cnf,7.3659,207,SAT
uf20-0443.cnf,0.0043,134,SAT
uf20-0444.cnf,2.0356,190,SAT
uf20-0445.cnf,0.0817,189,SAT
uf20-0446.cnf,15.9946,215,SAT
uf20-0447.cnf,3.4380,218,SAT
uf20-0448.cnf,2.5628,201,SAT
uf20-0449.cnf,7.1544,215,SAT
uf20-045.cnf,0.5192,189,SAT
uf20-0450.cnf,3.8457,208,SAT
uf20-0451.cnf,12.8611,233,SAT
uf20-0452.cnf,0.0237,167,SAT
uf20-0453.cnf,10.7832,222,SAT
uf20-0454.cnf,6.0819,224,SAT
uf20-0455.cnf,16.5791,216,SAT
uf20-0456.cnf,4.1165,206,SAT
uf20-0457.cnf,0.0041,168,SAT
uf20-0458.cnf,0.0798,176,SAT
uf20-0459.cnf,2.3862,188,SAT
uf20-046.cnf,1.8008,189,SAT
uf20-0460.cnf,0.4401,170,SAT
uf20-0461.cnf,7.3192,198,SAT
uf20-0462.cnf,3.9378,199,SAT
uf20-0463.cnf,0.0043,133,SAT
uf20-0464.cnf,11.5593,213,SAT
uf20-0465.cnf,4.0173,222,SAT
uf20-0466.cnf,6.1744,209,SAT
uf20-0467.cnf,11.0002,203,SAT
uf20-0468.cnf,0.4314,183,SAT
uf20-0469.cnf,15.5286,213,SAT
uf20-047.cnf,0.9333,190,SAT
uf20-0470.cnf,0.0130,147,SAT
uf20-0471.cnf,6.4935,201,SAT
uf20-0472.cnf,11.6791,216,SAT
uf20-0473.cnf,0.3018,177,SAT
uf20-0474.cnf,0.4981,184,SAT
uf20-0475.cnf,2.0287,196,SAT
uf20-0476.cnf,6.6618,208,SAT
uf20-0477.cnf,5.2449,211,SAT
uf20-0478.cnf,2.1295,189,SAT
uf20-0479.cnf,3.9410,209,SAT
uf20-048.cnf,3.0846,206,SAT
uf20-0480.cnf,8.3956,224,SAT
uf20-0481.cnf,1.7952,202,SAT
uf20-0482.cnf,1.1691,206,SAT
uf20-0483.cnf,0.0031,122,SAT
uf20-0484.cnf,9.7831,224,SAT
uf20-0485.cnf,1.9147,205,SAT
uf20-0486.cnf,7.6747,226,SAT
uf20-0487.cnf,2.4072,217,SAT
uf20-0488.cnf,8.0903,214,SAT
uf20-0489.cnf,10.9695,222,SAT
uf20-049.cnf,4.4439,211,SAT
uf20-0490.cnf,3.5050,206,SAT
uf20-0491.cnf,5.9733,212,SAT
uf20-0492.cnf,0.4219,178,SAT
uf20-0493.cnf,6.2837,212,SAT
uf20-0494.cnf,1.4157,184,SAT
uf20-0495.cnf,1.9131,216,SAT
uf20-0496.cnf,0.0017,96,SAT
uf20-0497.cnf,2.3457,202,SAT
uf20-0498.cnf,3.2726,198,SAT
uf20-0499.cnf,0.0410,161,SAT
uf20-050.cnf,0.0795,150,SAT
uf20-0500.cnf,8.4786,217,SAT
uf20-0501.cnf,0.6613,212,SAT
uf20-0502.cnf,10.7807,221,SAT
uf20-0503.cnf,12.8503,218,SAT
uf20-0504.cnf,1.0711,201,SAT
uf20-0505.cnf,0.0388,170,SAT
uf20-0506.cnf,2.9644,197,SAT
uf20-0507.cnf,0.0451,160,SAT
uf20-0508.cnf,0.0023,118,SAT
uf20-0509.cnf,0.5175,176,SAT
uf20-051.cnf,3.3383,203,SAT
uf20-0510.cnf,0.3628,181,SAT
uf20-0511.cnf,0.0354,170,SAT
uf20-0512.cnf,4.4862,205,SAT
uf20-0513.cnf,3.3407,196,SAT
uf20-0514.cnf,0.3907,193,SAT
uf20-0515.cnf,0.5960,200,SAT
uf20-0516.cnf,0.0489,180,SAT
uf20-0517.cnf,21.7057,218,SAT
uf20-0518.cnf,12.3521,221,SAT
uf20-0519.cnf,2.5878,198,SAT
uf20-052.cnf,0.0257,157,SAT
uf20-0520.cnf,4.1602,202,SAT
uf20-0521.cnf,7.0240,218,SAT
uf20-0522.cnf,0.0235,136,SAT
uf20-0523.cnf,0.2369,179,SAT
uf20-0524.cnf,9.7935,213,SAT
uf20-0525.cnf,0.1251,170,SAT
uf20-0526.cnf,3.7687,215,SAT
uf20-0527.cnf,6.5054,222,SAT
uf20-0528.cnf,1.2739,202,SAT
uf20-0529.cnf,3.8084,208,SAT
uf20-053.cnf,14.0147,223,SAT
uf20-0530.cnf,9.9236,227,SAT
uf20-0531.cnf,10.2589,212,SAT
uf20-0532.cnf,0.3877,180,SAT
uf20-0533.cnf,0.9463,179,SAT
uf20-0534.cnf,0.0875,164,SAT
uf20-0535.cnf,0.0046,125,SAT
uf20-0536.cnf,0.3338,170,SAT
uf20-0537.cnf,8.1765,213,SAT
uf20-0538.cnf,10.3017,216,SAT
uf20-0539.cnf,0.0138,145,SAT
uf20-054.cnf,0.0042,163,SAT
uf20-0540.cnf,4.1478,200,SAT
uf20-0541.cnf,0.0020,122,SAT
uf20-0542.cnf,4.8829,199,SAT
uf20-0543.cnf,5.0944,214,SAT
uf20-0544.cnf,0.6330,194,SAT
uf20-0545.cnf,3.0590,182,SAT
uf20-0546.cnf,1.0262,175,SAT
uf20-0547.cnf,6.0502,209,SAT
uf20-0548.cnf,9.6194,213,SAT
uf20-0549.cnf,8.5161,222,SAT
uf20-055.cnf,2.3959,213,SAT
uf20-0550.cnf,10.3496,227,SAT
uf20-0551.cnf,8.5091,218,SAT
uf20-0552.cnf,0.1895,179,SAT
uf20-0553.cnf,3.0968,210,SAT
uf20-0554.cnf,6.7458,219,SAT
uf20-0555.cnf,2.6539,206,SAT
uf20-0556.cnf,13.1847,212,SAT
uf20-0557.cnf,10.3116,217,SAT
uf20-0558.cnf,7.8954,214,SAT
uf20-0559.cnf,6.9092,219,SAT
uf20-056.cnf,7.1651,214,SAT
uf20-0560.cnf,1.5589,196,SAT
uf20-0561.cnf,3.6324,210,SAT
uf20-0562.cnf,13.8828,219,SAT
uf20-0563.cnf,0.0021,124,SAT
uf20-0564.cnf,1.8358,189,SAT
uf20-0565.cnf,0.4228,191,SAT
uf20-0566.cnf,5.3767,204,SAT
uf20-0567.cnf,0.0017,125,SAT
uf20-0568.cnf,6.2454,207,SAT
uf20-0569.cnf,4.5070,190,SAT
uf20-057.cnf,7.3484,211,SAT
uf20-0570.cnf,0.7901,191,SAT
uf20-0571.cnf,1.1762,197,SAT
uf20-0572.cnf,6.9057,204,SAT
uf20-0573.cnf,12.1583,224,SAT
uf20-0574.cnf,3.7311,205,SAT
uf20-0575.cnf,4.6820,221,SAT
uf20-0576.cnf,5.0071,204,SAT
uf20-0577.cnf,10.6259,217,SAT
uf20-0578.cnf,0.4704,184,SAT
uf20-0579.cnf,0.8689,186,SAT
uf20-058.cnf,2.6538,209,SAT
uf20-0580.cnf,0.0507,156,SAT
uf20-0581.cnf,11.5969,221,SAT
uf20-0582.cnf,0.7640,197,SAT
uf20-0583.cnf,0.0190,160,SAT
uf20-0584.cnf,14.5778,219,SAT
uf20-0585.cnf,9.9329,214,SAT
uf20-0586.cnf,2.2186,204,SAT
uf20-0587.cnf,0.4744,198,SAT
uf20-0588.cnf,0.0397,167,SAT
uf20-0589.cnf,2.0400,203,SAT
uf20-059.cnf,13.5184,209,SAT
uf20-0590.cnf,5.6545,218,SAT
uf20-0591.cnf,11.6605,215,SAT
uf20-0592.cnf,0.0022,123,SAT
uf20-0593.cnf,9.7832,223,SAT
uf20-0594.cnf,7.9443,219,SAT
uf20-0595.cnf,8.0254,226,SAT
uf20-0596.cnf,0.7162,187,SAT
uf20-0597.cnf,11.7894,212,SAT
uf20-0598.cnf,10.9153,217,SAT
uf20-0599.cnf,9.9716,232,SAT
uf20-06.cnf,5.9280,198,SAT
uf20-060.cnf,4.1013,202,SAT
uf20-0600.cnf,1.1195,203,SAT
uf20-0601.cnf,0.9042,184,SAT
uf20-0602.cnf,4.6152,205,SAT
uf20-0603.cnf,4.4974,215,SAT
uf20-0604.cnf,0.1541,190,SAT
uf20-0605.cnf,0.3766,185,SAT
uf20-0606.cnf,13.2848,216,SAT
uf20-0607.cnf,0.7249,192,SAT
uf20-0608.cnf,9.6694,216,SAT
uf20-0609.cnf,0.4393,183,SAT
uf20-061.cnf,21.0982,227,SAT
uf20-0610.cnf,3.7390,211,SAT
uf20-0611.cnf,4.5989,210,SAT
uf20-0612.cnf,2.6082,200,SAT
uf20-0613.cnf,2.3367,201,SAT
uf20-0614.cnf,12.4757,221,SAT
uf20-0615.cnf,4.3761,215,SAT
uf20-0616.cnf,5.3072,216,SAT
uf20-0617.cnf,0.7553,200,SAT
uf20-0618.cnf,0.0099,168,SAT
uf20-0619.cnf,0.0715,185,SAT
uf20-062.cnf,3.8960,214,SAT
uf20-0620.cnf,0.0389,162,SAT
uf20-0621.cnf,5.6700,205,SAT
uf20-0622.cnf,1.1835,174,SAT
uf20-0623.cnf,5.4544,215,SAT
uf20-0624.cnf,3.6833,212,SAT
uf20-0625.cnf,13.7091,218,SAT
uf20-0626.cnf,4.8578,214,SAT
uf20-0627.cnf,4.9931,219,SAT
uf20-0628.cnf,1.5136,189,SAT
uf20-0629.cnf,6.1379,218,SAT
uf20-063.cnf,0.1973,167,SAT
uf20-0630.cnf,4.2860,213,SAT
uf20-0631.cnf,0.0664,168,SAT
uf20-0632.cnf,11.1106,221,SAT
uf20-0633.cnf,0.2131,154,SAT
uf20-0634.cnf,6.9705,222,SAT
uf20-0635.cnf,0.7618,195,SAT
uf20-0636.cnf,8.2074,212,SAT
uf20-0637.cnf,5.4644,202,SAT
uf20-0638.cnf,11.0423,216,SAT
uf20-0639.cnf,1.8634,199,SAT
uf20-064.cnf,0.0658,156,SAT
uf20-0640.cnf,6.6388,223,SAT
uf20-0641.cnf,2.0441,202,SAT
uf20-0642.cnf,0.2313,190,SAT
uf20-0643.cnf,0.8850,187,SAT
uf20-0644.cnf,0.0871,185,SAT
uf20-0645.cnf,5.0419,241,SAT
uf20-0646.cnf,0.0360,156,SAT
uf20-0647.cnf,8.1273,213,SAT
uf20-0648.cnf,0.8426,184,SAT
uf20-0649.cnf,8.0297,221,SAT
uf20-065.cnf,11.1693,220,SAT
uf20-0650.cnf,1.5810,208,SAT
uf20-0651.cnf,2.8831,188,SAT
uf20-0652.cnf,9.7625,215,SAT
uf20-0653.cnf,0.2619,190,SAT
uf20-0654.cnf,3.4288,213,SAT
uf20-0655.cnf,3.1893,199,SAT
uf20-0656.cnf,3.0417,194,SAT
uf20-0657.cnf,6.7890,208,SAT
uf20-0658.cnf,2.4020,201,SAT
uf20-0659.cnf,0.0273,168,SAT
uf20-066.cnf,11.9247,205,SAT
uf20-0660.cnf,0.1506,174,SAT
uf20-0661.cnf,9.1990,210,SAT
uf20-0662.cnf,0.6138,201,SAT
uf20-0663.cnf,9.7954,217,SAT
uf20-0664.cnf,7.6316,213,SAT
uf20-0665.cnf,0.4236,193,SAT
uf20-0666.cnf,2.9740,200,SAT
uf20-0667.cnf,3.1294,215,SAT
uf20-0668.cnf,0.0233,168,SAT
uf20-0669.cnf,7.0205,213,SAT
uf20-067.cnf,0.0240,171,SAT
uf20-0670.cnf,2.4869,192,SAT
uf20-0671.cnf,4.2005,210,SAT
uf20-0672.cnf,0.2474,172,SAT
uf20-0673.cnf,0.2182,201,SAT
uf20-0674.cnf,11.5348,222,SAT
uf20-0675.cnf,5.0794,203,SAT
